Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms
395.9536,395.968,395.9792,395.968,8.422738075256348,25.6
396.4532,396.4728,396.4908,396.4728,8.061243057250977,37.6
397.1432,397.154,397.1636,397.154,6.616577625274658,20.4
397.6024,397.6056,397.6284,397.6056,2.2760047912597656,26.0
397.8448,397.8552,397.8728,397.8552,10.587706565856934,28.0
398.26,398.2728,398.2816,398.2728,9.068065643310547,21.6
398.9192,398.93,398.9676,398.93,5.841054439544678,48.4
401.8584,401.88,401.89,401.88,3.8478105068206787,31.6
401.9776,401.9864,401.9984,401.9864,3.9716758728027344,20.8
403.55,403.5716,403.5732,403.5716,2.0800342559814453,23.2
403.9208,403.9272,403.9572,403.9272,4.843319416046143,36.4
414.4404,414.4696,414.4768,414.4696,3.3751986026763916,36.4
415.594,415.6036,415.628,415.6036,5.847684383392334,34.0
447.62,447.6532,447.6616,447.6532,4.907128810882568,41.6
460.182,460.2236,460.2404,460.2236,8.646173477172852,58.4
460.406,460.4472,460.4568,460.4472,6.95835018157959,50.8
460.5128,460.516,460.5416,460.516,3.084192991256714,28.8
461.6172,461.65,461.6572,461.65,5.046731472015381,40.0
461.9728,461.9844,462.01,461.9844,7.720849990844727,37.2
463.8964,463.906,463.9172,463.906,6.671216011047363,20.8
468.1456,468.1656,468.1952,468.1656,11.1572847366333,49.6
468.5536,468.562,468.5972,468.562,3.8362863063812256,43.6
469.7756,469.8204,469.8548,469.8204,5.498550891876221,79.2
471.6208,471.6704,471.6772,471.6704,4.999689102172852,56.4
471.8152,471.8212,471.8364,471.8212,3.1865932941436768,21.2
520.3204,520.3324,520.358,520.3324,5.5112624168396,37.6
526.688,526.7104,526.7164,526.7104,4.895333290100098,28.4
527.922,527.9336,527.9616,527.9336,4.629463195800781,39.6
528.4932,528.5056,528.5156,528.5056,6.148403167724609,22.4
528.8064,528.8196,528.8416,528.8196,8.867082595825195,35.2
531.3936,531.4028,531.4244,531.4028,4.0687713623046875,30.8
531.5964,531.6144,531.626,531.6144,5.12286376953125,29.6
532.2992,532.3036,532.334,532.3036,3.6781129837036133,34.8
532.4204,532.4428,532.4512,532.4428,4.451534748077393,30.8
534.044,534.08,534.0852,534.08,4.077212333679199,41.2
535.9404,535.9552,535.964,535.9552,5.59572172164917,23.6
537.0536,537.0732,537.0772,537.0732,2.4106998443603516,23.6
537.9644,537.986,537.9976,537.986,4.321050643920898,33.2
540.5748,540.5836,540.598,540.5836,9.794095993041992,23.2
541.2808,541.2932,541.3092,541.2932,4.161191463470459,28.4
541.9228,541.9836,541.9956,541.9836,7.806430339813232,72.8
542.0556,542.0888,542.0956,542.0888,5.473886013031006,40.0
542.5088,542.522,542.5392,542.522,8.176213264465332,30.4
542.8616,542.8712,542.9068,542.8712,7.718279838562012,45.2
544.1648,544.174,544.2068,544.174,6.811647891998291,42.0
544.7392,544.7472,544.7776,544.7472,7.348309516906738,38.4
546.7416,546.748,546.7696,546.748,2.7834320068359375,28.0
578.4616,578.466,578.4912,578.466,2.704710006713867,29.6
3132.5632,3132.5776,3132.586,3132.5776,4.755108833312988,22.8
3132.6928,3132.7004,3132.7128,3132.7004,4.044727802276611,20.0
3136.394,3136.4156,3136.4212,3136.4156,3.57403302192688,27.2
3137.9176,3137.9276,3137.9392,3137.9276,6.73667573928833,21.6
3138.424,3138.428,3138.4444,3138.428,2.6613271236419678,20.4
3138.6408,3138.6524,3138.6616,3138.6524,3.706782817840576,20.8
3140.358,3140.372,3140.3796,3140.372,4.733482837677002,21.6
3147.3772,3147.4292,3147.4584,3147.4292,4.574925422668457,81.2
3148.3012,3148.3192,3148.3276,3148.3192,8.314770698547363,26.4
3150.6028,3150.628,3150.642,3150.628,10.748808860778809,39.2
3151.4072,3151.4252,3151.4444,3151.4252,5.0064239501953125,37.2
3153.458,3153.4644,3153.5,3153.4644,4.078636646270752,42.0
3153.5604,3153.5644,3153.5888,3153.5644,2.913572311401367,28.4
3155.4932,3155.504,3155.5192,3155.504,6.182615280151367,26.0
3371.0596,3371.0624,3371.08,3371.0624,2.6151998043060303,20.4
3371.6072,3371.6144,3371.6472,3371.6144,4.879312515258789,40.0
3372.4772,3372.4876,3372.5268,3372.4876,6.914287090301514,49.6
3374.0336,3374.044,3374.0552,3374.044,59.417579650878906,21.6
3378.4468,3378.4552,3378.4704,3378.4552,5.053443908691406,23.6
3378.5948,3378.6172,3378.6252,3378.6172,4.5146589279174805,30.4
3378.768,3378.7732,3378.7928,3378.7732,3.54947566986084,24.8
3378.8804,3378.904,3378.9324,3378.904,13.82090950012207,52.0
3379.9152,3379.9232,3379.9368,3379.9232,4.2059712409973145,21.6
3380.018,3380.0556,3380.0756,3380.0556,10.016789436340332,57.6
3381.7648,3381.784,3381.8216,3381.784,7.579644203186035,56.8
3383.8416,3383.848,3383.862,3383.848,4.095376491546631,20.4
3385.2812,3385.3108,3385.3168,3385.3108,3.8616230487823486,35.6
3385.6796,3385.688,3385.714,3385.688,6.62704610824585,34.4
3385.8948,3385.9464,3385.9584,3385.9464,6.099724292755127,63.6
3387.0636,3387.0788,3387.0864,3387.0788,3.585644245147705,22.8
3388.6908,3388.7036,3388.714,3388.7036,7.463413238525391,23.2
3391.8424,3391.8516,3391.8716,3391.8516,6.451964378356934,29.2
3392.648,3392.6596,3392.6772,3392.6596,13.420204162597656,29.2
3393.1672,3393.1788,3393.1876,3393.1788,8.856901168823242,20.4
3393.6896,3393.7076,3393.7192,3393.7076,5.136061191558838,29.6
3394.3476,3394.356,3394.3804,3394.356,6.1381025314331055,32.8
3402.5608,3402.5952,3402.6052,3402.5952,7.066411018371582,44.4
3402.6852,3402.712,3402.7564,3402.712,4.359775066375732,71.2
3403.6684,3403.71,3403.724,3403.71,5.6606597900390625,55.6
3405.7468,3405.7536,3405.7796,3405.7536,4.307253360748291,32.8
3406.028,3406.0452,3406.0524,3406.0452,5.072472095489502,24.4
3406.6404,3406.6428,3406.6636,3406.6428,2.4296209812164307,23.2
3406.8912,3406.898,3406.9224,3406.898,6.312655925750732,31.2
3407.8872,3407.914,3407.934,3407.914,5.867591857910156,46.8
3410.6808,3410.7152,3410.7264,3410.7152,4.748374938964844,45.6
3411.5476,3411.57,3411.5776,3411.57,3.10969877243042,30.0
3412.3588,3412.3868,3412.3952,3412.3868,3.3945584297180176,36.4
3412.926,3412.9364,3412.9616,3412.9364,7.579422473907471,35.6
3414.2016,3414.2236,3414.2352,3414.2236,4.2670392990112305,33.6
3414.386,3414.4,3414.416,3414.4,9.425761222839355,30.0
3414.7124,3414.7244,3414.7324,3414.7244,5.44598388671875,20.0
3415.6272,3415.6456,3415.6648,3415.6456,5.68776798248291,37.6
3415.804,3415.824,3415.8348,3415.824,8.888541221618652,30.8
3418.1272,3418.1348,3418.1576,3418.1348,4.291282653808594,30.4
3420.0088,3420.018,3420.0384,3420.018,5.742286205291748,29.6
3423.0804,3423.0868,3423.1012,3423.0868,6.759218692779541,20.8
3426.1044,3426.1196,3426.144,3426.1196,10.120107650756836,39.6
3426.7944,3426.8076,3426.8272,3426.8076,9.896101951599121,32.8
3427.028,3427.0484,3427.0516,3427.0484,2.51438570022583,23.6
3427.9848,3428.0128,3428.018,3428.0128,3.525664806365967,33.2
3431.9388,3431.9608,3431.9932,3431.9608,17.040786743164062,54.4
3432.5844,3432.5984,3432.6672,3432.5984,6.7378644943237305,82.8
3432.9636,3432.9848,3432.99,3432.9848,3.02024507522583,26.4
3434.2288,3434.24,3434.2576,3434.24,7.106966495513916,28.8
3434.9048,3434.9156,3434.9312,3434.9156,5.270294189453125,26.4
3435.1968,3435.2152,3435.22,3435.2152,3.0362446308135986,23.2
3435.5904,3435.6056,3435.6244,3435.6056,6.73803186416626,34.0
3435.8968,3435.91,3435.9272,3435.91,5.4771246910095215,30.4
3436.5084,3436.5412,3436.5504,3436.5412,5.751420974731445,42.0
3437.2988,3437.3016,3437.3188,3437.3016,2.5463972091674805,20.0
3439.7564,3439.7624,3439.794,3439.7624,3.2648987770080566,37.6
3439.9704,3439.9784,3440.0076,3439.9784,5.3467254638671875,37.2
3440.8784,3440.8876,3440.8992,3440.8876,4.033973693847656,20.8
3442.2756,3442.2844,3442.2984,3442.2844,4.065428733825684,22.8
3442.438,3442.4512,3442.4584,3442.4512,3.7417073249816895,20.4
3443.1076,3443.1144,3443.1292,3443.1144,3.590909242630005,21.6
3444.8312,3444.8612,3444.8912,3444.8612,5.426051139831543,60.0
3445.7332,3445.7728,3445.784,3445.7728,7.213356018066406,50.8
3451.3148,3451.3216,3451.3348,3451.3216,5.124759197235107,20.0
3451.8688,3451.874,3451.896,3451.874,3.766496419906616,27.2
3452.0344,3452.054,3452.06,3452.054,2.7166433334350586,25.6
3453.8168,3453.8384,3453.8472,3453.8384,7.760281562805176,30.4
3453.9384,3453.95,3453.9768,3453.95,8.924558639526367,38.4
3454.4376,3454.446,3454.4724,3454.446,4.631175994873047,34.8
3454.764,3454.7736,3454.8232,3454.7736,3.8306498527526855,59.2
3455.5176,3455.5268,3455.5572,3455.5268,4.679024696350098,39.6
3457.6512,3457.664,3457.6908,3457.664,6.608902931213379,39.6
3459.7684,3459.8056,3459.8328,3459.8056,3.5896170139312744,64.4
